word,category0,category1,category2
sicher*,1,,
fried*,1,,
mitgefuehl*,1,,
empath*,1,,
sympath*,1,,
obhut,1,,
fuersorg*,1,,
schuetz*,1,,
abschirmung,1,,
schutz,1,,
freundschaft*,1,,
sicher*,1,,
vorteil*        ,1,,
defen*,1,,
beschuetz*,1,,
bewahren,1,7,
schad*,2,,
leiden*,2,,
schaed*,2,,
kriege,2,,
krieg*,2,,
streitsuechtig,2,,
kampf,2,,
gewalt*,2,,
verletz*,2,,
toeten,2,,
toetungen,2,,
moerder*,2,,
ermordet,2,,
toedlich,2,,
gefaehrd*,2,,
grausam,2,,
brutal,2,,
missbrauch*,2,,
beschaed*,2,,
ruin*,2,10,
verwuest*,2,,
nachteil*,2,,
zermalm*,2,,
angriff*,2,,
vernicht*,2,,
vertilgen,2,,
stampfen,2,,
verlassen,2,6,
zurueckweisen ,2,,
schmaelern,2,,
ausnutzen,2,,
ausbeutungen,2,10,
ausgenutzt,2,10,
ausnutz*,2,10,
verwund*,2,,
fair,3,,
gerecht,3,,
fairness,3,,
fair-*,3,,
vernunft*,3,,
fairplay,3,,
gleich*,3,,
recht,3,,
gerechtigkeit,3,,
gerechtfertigt,3,,
erwider*,3,,
unparteiisch*,3,,
egalitaer*,3,,
rechte,3,,
toleranz,3,,
gleichmaessigkeit,3,,
gleichwertig,3,,
unvoreingenommen*,3,,
tolerant,3,,
gleichfoermig,3,,
ausgeglich*,3,,
gleichwertig,3,,
vorurteilsfrei*,3,,
vernuenftig,3,,
gleichbleibend,3,,
ehrlich*,3,11,
unfair*,4,,
ungleich*,4,,
befangen*,4,,
ausschliessen*,4,,
ungerecht*,4,,
exkludier*,4,,
diskriminier*,4,,
unverhaeltnismaessig*,4,,
anti*,4,,
vorurteil*,4,,
unehrlich,4,,
skrupellos,4,,
vorzieh*,4,,
vorzug,4,,
vetternwirtschaft ,4,,
trenn*,4,5,
ausschluss,4,,
ausgeschloss*,4,,
nation*,5,,
heimatland*,5,,
familie*,5,,
familiaer,5,,
gruppe,5,,
treu*,5,7,
patriot*,5,,
kommunal,5,,
gemeinde*,5,,
gemeinschaft*,5,,
kommunis,5,,
kamerad*,5,,
kader,5,,
kollektiv*,5,,
gemeinsam,5,,
vereinigen*,5,,
freund*,5,,
vereinigung,5,,
solidaritaet,5,,
mitglied,5,,
clique*,5,,
helfer,5,,
verbuendeter,5,,
insider,5,,
unterwuerfig,5,,
auslaendisch*,6,,
feind*,6,,
verrat*,6,8,
betrueg*,6,8,
verraeter*,6,8,
tueckisch*,6,8,
untreu*,6,8,
individuell*,6,,
abfall,6,8,10
abtruennig,6,8,10
desertiert,6,8,
deserteur,6,8,
desertierend,6,8,
taeuschung*,6,,
sitzenlassen,6,,
betrueger,6,,
gemein,6,,
spion,6,,
absondern,6,,
abtruenniger,6,,
terroris,6,,
immigra*,6,,
ausschliessen,6,7,
ausgeschlossen*,6,7,8
gehorchen*,7,,
gehorsam*,7,,
zoll,7,,
rechtswissenschaft,7,,
gesetzlich*,7,11,
legal*,7,11,
pflicht*,7,,
ehre*,7,,
respektieren,7,,
respektvoll*,7,,
respektiert,7,,
respektiert,7,,
befehl*,7,,
vater*,7,,
mutter,7,,
muetterlich*,7,,
bemutternd,7,,
muetter,7,,
tradition*,7,,
hierarchie*,7,,
autoritaer*,7,,
erlauben,7,,
erlaubniss,7,,
status*,7,,
rang,7,,
anfuehrer*,7,,
klasse,7,,
bourgeoisie,7,,
gesellschaftsklasse*,7,,
standort,7,,
konform*,7,,
kommando,7,,
vormachtstellung,7,,
kontrolle,7,,
dienen,7,,
aushalten,7,,
beugen,7,,
ehren,7,,
kaste,7,,
nachgeben,7,,
herausfordern*,8,,
rebell*,8,,
auflehnen*,8,,
zerrueten*,8,,
respektlos*,8,,
missachten*,8,,
aufruehr*,8,,
aufwiegel*,8,,
aufsaess*,8,,
illegal*,8,,
gesetzlos*,8,,
aufstaend*,8,,
meuter*,8,,
widersetz*,8,,
andersdenk*,8,,
untreu*,8,,
verfremd*,8,,
ueberlaeuf*,8,,
ketzer*,8,10,
widersetz*,8,,
protest*,8,,
abweis*,8,,
verwehr*,8,,
denunz*,8,,
aufruhr*,8,,
randal*,8,,
versperr*,8,,
block*,8,,
fromm*,9,11,
froemm*,9,11,
rein*,9,,
sauber*,9,,
steril*,9,,
heilig*,9,,
schlicht*,9,,
zoeliba*,9,,
abstinen*,9,,
enthalt*,9,,
jungfrau,9,,
jungfraeu,9,,
enthalt,9,,
integritaet,9,11,
bescheiden,9,,
redlich,9,11,
aufrichtig,9,11,
jungfer,9,,
tugend*,9,,
rechtschaffen,9,,
dezent*,9,11,
makellos,9,,
unschuldig,9,,
unberuehrt,9,,
kirch*,9,,
ekel*,10,,
verderb*,10,,
krank*,10,,
dreckig,10,,
ansteckend*,10,,
unanstaend*,10,,
suend*,10,,
schlampe,10,,
hure,10,,
schmutz*,10,,
gottlos*,10,,
profan,10,,
abstoss,10,,
unzucht,10,,
unzuecht*,10,,
besudeln*,10,,
prostituiert*,10,,
masslos,10,,
mutwillig,10,,
verschwender*,10,,
obszoen*,10,,
lasch,10,,
schimmel*,10,,
fleck*,10,,
entwert*,10,,
schaend*,10,,
boes*,10,11,
fehler*,10,,
ausbeut*,10,,
pervers*,10,,
elend*,10,11,
gerecht*,11,,
moral*,11,,
ethi*,11,,
wert*,11,,
aufrecht,11,,
gut,11,,
guete,11,,
prinzip*,11,,
tadellos,11,,
beispielhaft,11,,
lektion,11,,
edel,11,,
ideal*,11,,
lobenswert,11,,
richtig,11,,
falsch,11,,
unmoral*,11,,
schlecht,11,,
beleidigen*,11,,
offensiv,11,,
