word,category
schuetz*,1
schutz,1
beschuetz*,1
leiden*,2
verletz*,2
ermord*,2
beschaed*,2
schmaelern,2
ausbeut*,2
verwund*,2
gerecht*,3
gleichmaess*,3
unfair*,4
unverhaeltnismaessig*,4
gemeinsam,5
untreu*,6
abfall,6
desertier*,6
sitzenlassen,6
absondern,6
ausgeschlossen,6
gehorsam*,7
befehl,7
rebell*,8
aufstaend*,8
meuter*,8
wiedersetz*,8
aufruehr*,8
gesetzlos*,8
andersdenk*,8
untreu,8
protest,8
heilig,9
schlicht*,9
rechtschaffen*,9
makellos,9
unberuehrt,9
dreckig,10
unanstaend*,10
suend*,10
gottlos*,10
unzuecht*,10
prostituier*,10
schimmel,10
ausbeut*,10
pervers*,10
ethisch,11
